8	7895
9	7895
10	7899
11	7895
12	7898
13	7895
14	7915
15	7895
16	7912
17	7911
18	7913
19	7913
20	7914
21	7911
22	7915
23	7915
24	7911
25	7913
26	7911
27	7914
28	7912
29	7911
30	7911
31	7931
32	7928
33	7926
34	7932
35	7927
36	7928
37	7927
38	7931
39	7928
40	7927
41	7930
42	7928
43	7927
44	7927
45	7928
46	7927
47	7911
48	7947
49	7946
50	7945
51	7945
52	7944
53	7945
54	7944
55	7945
56	7944
57	7946
58	7946
59	7943
60	7943
61	7943
62	7943
63	7962
64	7959
65	7960
66	7958
67	7942
68	7959
69	7943
70	7959
71	7961
72	7961
73	7959
74	7959
75	7959
76	7959
77	7959
78	7943
79	7959
80	7975
81	7978
82	7979
83	7975
84	7976
85	7977
86	7977
87	7980
88	7980
89	7975
90	7975
91	7979
92	7977
93	7975
94	7976
95	7975
96	7991
97	7975
98	7991
99	7992
100	7992
